,mean,std,min,max
latitude,42.54714851223246,7.0911476067628865,14.062408666666666,51.497928028169014
longitude,-122.04677180935869,2.535646350510015,-131.9998831147541,-114.00024608695652
sog,3.8520675368098916,5.825393943246009,0.0,50.0
cog,177.22994406555492,106.72370115587852,0.0,359.99999999999994
heading,182.45647574444615,102.0108182760294,0.0,359.00000000000006
length,76.67634923982688,95.56231607017988,1.0,450.0
width,14.545326444452934,13.443555305888319,1.0,60.0
draft,6.450841891175939,3.826897054045004,0.1,24.6
