horizon_min,lstm_hav_km
3,0.1566048541965065
6,0.2706916110345573
9,0.37903847455325507
12,0.4865390881152868
15,0.5916765118755355
18,0.6981768398312488
21,0.8006836060643536
24,0.8972946426197215
27,0.9980809045986697
30,1.0939412964006832
33,1.1954118429228018
36,1.2951402151707299
39,1.3922114548559112
42,1.487894265247186
45,1.5794322905027443
48,1.6765909181304512
51,1.7703768779123608
54,1.860492586535714
57,1.9515405538424722
60,2.04169832252646
